date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2017-07-03,4.794752,4.479722,5.633649,4.479722,8.293447,8.08433,6.446815,8.08433,4.479722,5.997249,6.961051,7.729179,6.446815,8.08433,8.08433,8.293447,4.31059,6.961051,8.08433,7.729179,7.729179,8.193177,8.08433,4.479722,8.193177,5.633649,8.193177,6.446815,7.729179,6.446815,5.633649,8.08433,6.961051,6.446815,5.633649,7.729179,6.446815,6.446815,4.479722,7.729179,5.633649,4.31059,8.08433,8.293447,7.729179,8.193177,7.729179,8.08433,6.961051
2017-07-10,5.375583,3.294915,5.157944,3.294915,9.438842,10.172637,9.250924,10.172637,3.294915,5.001526,8.907105,8.897779,9.250924,10.172637,10.172637,9.438842,3.275638,8.907105,10.172637,8.897779,8.897779,8.904607,10.172637,3.294915,8.904607,5.157944,8.904607,9.250924,8.897779,9.250924,5.157944,10.172637,8.907105,9.250924,5.157944,8.897779,9.250924,9.250924,3.294915,8.897779,5.157944,3.275638,10.172637,9.438842,8.897779,8.904607,8.897779,10.172637,8.907105
2017-07-17,5.467099,3.663616,5.472763,3.663616,9.950068,10.646774,9.255226,10.646774,3.663616,8.998806,8.202199,7.560636,9.255226,10.646774,10.646774,9.950068,3.617223,8.202199,10.646774,7.560636,7.560636,7.85929,10.646774,3.663616,7.85929,5.472763,7.85929,9.255226,7.560636,9.255226,5.472763,10.646774,8.202199,9.255226,5.472763,7.560636,9.255226,9.255226,3.663616,7.560636,5.472763,3.617223,10.646774,9.950068,7.560636,7.85929,7.560636,10.646774,8.202199
2017-07-24,6.052341,3.904215,5.674931,3.904215,10.446566,11.011451,9.974649,11.011451,3.904215,7.220517,8.896896,7.890179,9.974649,11.011451,11.011451,10.446566,3.576601,8.896896,11.011451,7.890179,7.890179,7.729833,11.011451,3.904215,7.729833,5.674931,7.729833,9.974649,7.890179,9.974649,5.674931,11.011451,8.896896,9.974649,5.674931,7.890179,9.974649,9.974649,3.904215,7.890179,5.674931,3.576601,11.011451,10.446566,7.890179,7.729833,7.890179,11.011451,8.896896
2017-07-31,6.474768,5.089419,6.640643,5.089419,10.723138,10.934133,9.06149,10.934133,5.089419,9.988887,8.50166,8.567355,9.06149,10.934133,10.934133,10.723138,4.248084,8.50166,10.934133,8.567355,8.567355,8.414121,10.934133,5.089419,8.414121,6.640643,8.414121,9.06149,8.567355,9.06149,6.640643,10.934133,8.50166,9.06149,6.640643,8.567355,9.06149,9.06149,5.089419,8.567355,6.640643,4.248084,10.934133,10.723138,8.567355,8.414121,8.567355,10.934133,8.50166
2017-08-07,6.258582,3.668145,5.53872,3.668145,11.010416,11.615283,9.633629,11.615283,3.668145,8.657618,9.036239,8.249442,9.633629,11.615283,11.615283,11.010416,3.282458,9.036239,11.615283,8.249442,8.249442,7.427394,11.615283,3.668145,7.427394,5.53872,7.427394,9.633629,8.249442,9.633629,5.53872,11.615283,9.036239,9.633629,5.53872,8.249442,9.633629,9.633629,3.668145,8.249442,5.53872,3.282458,11.615283,11.010416,8.249442,7.427394,8.249442,11.615283,9.036239
2017-08-14,5.861764,5.377812,8.568135,5.377812,11.40558,10.265292,7.228559,10.265292,5.377812,11.59446,6.326522,6.773496,7.228559,10.265292,10.265292,11.40558,3.81903,6.326522,10.265292,6.773496,6.773496,7.410043,10.265292,5.377812,7.410043,8.568135,7.410043,7.228559,6.773496,7.228559,8.568135,10.265292,6.326522,7.228559,8.568135,6.773496,7.228559,7.228559,5.377812,6.773496,8.568135,3.81903,10.265292,11.40558,6.773496,7.410043,6.773496,10.265292,6.326522
2017-08-21,6.276424,5.997837,8.744841,5.997837,11.845083,11.717473,9.521953,11.717473,5.997837,7.981797,8.231024,7.398088,9.521953,11.717473,11.717473,11.845083,4.534493,8.231024,11.717473,7.398088,7.398088,7.644078,11.717473,5.997837,7.644078,8.744841,7.644078,9.521953,7.398088,9.521953,8.744841,11.717473,8.231024,9.521953,8.744841,7.398088,9.521953,9.521953,5.997837,7.398088,8.744841,4.534493,11.717473,11.845083,7.398088,7.644078,7.398088,11.717473,8.231024
2017-08-28,5.244235,4.860918,7.305682,4.860918,11.032247,11.283339,9.371085,11.283339,4.860918,9.152858,8.923676,9.541457,9.371085,11.283339,11.283339,11.032247,4.013613,8.923676,11.283339,9.541457,9.541457,9.277095,11.283339,4.860918,9.277095,7.305682,9.277095,9.371085,9.541457,9.371085,7.305682,11.283339,8.923676,9.371085,7.305682,9.541457,9.371085,9.371085,4.860918,9.541457,7.305682,4.013613,11.283339,11.032247,9.541457,9.277095,9.541457,11.283339,8.923676
2017-09-04,5.831768,4.731911,7.161022,4.731911,10.915818,10.57306,8.359216,10.57306,4.731911,8.562242,7.362174,7.359869,8.359216,10.57306,10.57306,10.915818,3.826982,7.362174,10.57306,7.359869,7.359869,7.716414,10.57306,4.731911,7.716414,7.161022,7.716414,8.359216,7.359869,8.359216,7.161022,10.57306,7.362174,8.359216,7.161022,7.359869,8.359216,8.359216,4.731911,7.359869,7.161022,3.826982,10.57306,10.915818,7.359869,7.716414,7.359869,10.57306,7.362174
