date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-10-28,3.813996,5.003549,6.189869,5.003549,7.897444,7.538620,5.883988,7.538620,5.003549,6.023279,4.949142,5.480373,5.883988,7.538620,7.538620,7.897444,4.458240,4.949142,7.538620,5.480373,5.480373,5.306128,7.538620,5.003549,5.306128,6.189869,5.306128,5.883988,5.480373,5.883988,6.189869,7.538620,4.949142,5.883988,6.189869,5.480373,5.883988,5.883988,5.003549,5.480373,6.189869,4.458240,7.538620,7.897444,5.480373,5.306128,5.480373,7.538620,4.949142
2016-10-29,4.047653,4.200752,5.430953,4.200752,6.983942,6.719714,5.720950,6.719714,4.200752,6.107677,4.942299,5.369298,5.720950,6.719714,6.719714,6.983942,3.951660,4.942299,6.719714,5.369298,5.369298,5.238074,6.719714,4.200752,5.238074,5.430953,5.238074,5.720950,5.369298,5.720950,5.430953,6.719714,4.942299,5.720950,5.430953,5.369298,5.720950,5.720950,4.200752,5.369298,5.430953,3.951660,6.719714,6.983942,5.369298,5.238074,5.369298,6.719714,4.942299
2016-10-30,5.608659,4.096658,5.150691,4.096658,7.195980,6.783000,5.475657,6.783000,4.096658,4.109237,5.043666,5.607221,5.475657,6.783000,6.783000,7.195980,4.321589,5.043666,6.783000,5.607221,5.607221,5.241292,6.783000,4.096658,5.241292,5.150691,5.241292,5.475657,5.607221,5.475657,5.150691,6.783000,5.043666,5.475657,5.150691,5.607221,5.475657,5.475657,4.096658,5.607221,5.150691,4.321589,6.783000,7.195980,5.607221,5.241292,5.607221,6.783000,5.043666
2016-10-31,3.949737,5.021802,5.743724,5.021802,7.559685,7.334671,5.946628,7.334671,5.021802,3.902876,5.909593,6.219513,5.946628,7.334671,7.334671,7.559685,4.846700,5.909593,7.334671,6.219513,6.219513,5.819277,7.334671,5.021802,5.819277,5.743724,5.819277,5.946628,6.219513,5.946628,5.743724,7.334671,5.909593,5.946628,5.743724,6.219513,5.946628,5.946628,5.021802,6.219513,5.743724,4.846700,7.334671,7.559685,6.219513,5.819277,6.219513,7.334671,5.909593
2016-11-01,4.089336,5.172426,5.930256,5.172426,8.143290,7.469551,6.193045,7.469551,5.172426,4.032857,6.143121,5.883978,6.193045,7.469551,7.469551,8.143290,4.546031,6.143121,7.469551,5.883978,5.883978,6.324391,7.469551,5.172426,6.324391,5.930256,6.324391,6.193045,5.883978,6.193045,5.930256,7.469551,6.143121,6.193045,5.930256,5.883978,6.193045,6.193045,5.172426,5.883978,5.930256,4.546031,7.469551,8.143290,5.883978,6.324391,5.883978,7.469551,6.143121
2016-11-02,4.340961,5.147403,6.693526,5.147403,8.422593,7.855407,5.498162,7.855407,5.147403,4.204742,5.369782,5.274386,5.498162,7.855407,7.855407,8.422593,4.856504,5.369782,7.855407,5.274386,5.274386,5.334761,7.855407,5.147403,5.334761,6.693526,5.334761,5.498162,5.274386,5.498162,6.693526,7.855407,5.369782,5.498162,6.693526,5.274386,5.498162,5.498162,5.147403,5.274386,6.693526,4.856504,7.855407,8.422593,5.274386,5.334761,5.274386,7.855407,5.369782
2016-11-03,3.892712,4.080683,5.044421,4.080683,8.750154,8.450088,5.677849,8.450088,4.080683,3.909138,4.711199,4.334766,5.677849,8.450088,8.450088,8.750154,4.038110,4.711199,8.450088,4.334766,4.334766,3.896156,8.450088,4.080683,3.896156,5.044421,3.896156,5.677849,4.334766,5.677849,5.044421,8.450088,4.711199,5.677849,5.044421,4.334766,5.677849,5.677849,4.080683,4.334766,5.044421,4.038110,8.450088,8.750154,4.334766,3.896156,4.334766,8.450088,4.711199
2016-11-04,3.281162,3.421822,3.956925,3.421822,8.089339,8.457763,6.892572,8.457763,3.421822,3.785815,6.219856,5.548509,6.892572,8.457763,8.457763,8.089339,3.795531,6.219856,8.457763,5.548509,5.548509,5.097446,8.457763,3.421822,5.097446,3.956925,5.097446,6.892572,5.548509,6.892572,3.956925,8.457763,6.219856,6.892572,3.956925,5.548509,6.892572,6.892572,3.421822,5.548509,3.956925,3.795531,8.457763,8.089339,5.548509,5.097446,5.548509,8.457763,6.219856
2016-11-05,3.504403,3.206541,3.902215,3.206541,7.319294,7.827566,6.826369,7.827566,3.206541,3.384945,6.159486,5.571137,6.826369,7.827566,7.827566,7.319294,3.697651,6.159486,7.827566,5.571137,5.571137,4.592162,7.827566,3.206541,4.592162,3.902215,4.592162,6.826369,5.571137,6.826369,3.902215,7.827566,6.159486,6.826369,3.902215,5.571137,6.826369,6.826369,3.206541,5.571137,3.902215,3.697651,7.827566,7.319294,5.571137,4.592162,5.571137,7.827566,6.159486
2016-11-06,3.172546,4.185819,5.019547,4.185819,6.465319,5.981368,4.787172,5.981368,4.185819,2.639398,4.375515,4.006215,4.787172,5.981368,5.981368,6.465319,3.790818,4.375515,5.981368,4.006215,4.006215,3.489473,5.981368,4.185819,3.489473,5.019547,3.489473,4.787172,4.006215,4.787172,5.019547,5.981368,4.375515,4.787172,5.019547,4.006215,4.787172,4.787172,4.185819,4.006215,5.019547,3.790818,5.981368,6.465319,4.006215,3.489473,4.006215,5.981368,4.375515
